symbols,date,value
GE,2001.40547945205,31.368378
GE,2001.40821917808,30.957881
GE,2001.41095890411,30.94525
GE,2001.41369863014,30.94525
GE,2001.42191780822,31.229441
GE,2001.42465753425,31.058926
GE,2001.42739726027,30.787366
GE,2001.4301369863,30.888411
GE,2001.43287671233,30.402129
GE,2001.44109589041,29.934794
GE,2001.44657534247,30.218983
GE,2001.44931506849,30.856835
GE,2001.45205479452,30.825259
GE,2001.4602739726,30.94525
GE,2001.46301369863,30.863149
GE,2001.46575342466,32.063068
GE,2001.46849315068,32.366205
GE,2001.47123287671,32.751442
GE,2001.47945205479,31.734669
GE,2001.48219178082,30.812628
GE,2001.48493150685,30.477912
GE,2001.48767123288,30.863149
GE,2001.4904109589,30.94525
GE,2001.49863013699,31.703093
GE,2001.50136986301,31.267332
GE,2001.50684931507,30.709781
GE,2001.5095890411,29.708718
GE,2001.51780821918,29.683374
GE,2001.52054794521,28.992768
GE,2001.52328767123,28.264149
GE,2001.52602739726,29.778413
GE,2001.53698630137,29.284218
GE,2001.5397260274,29.214524
GE,2001.54246575342,29.239868
GE,2001.54520547945,29.448949
GE,2001.54794520548,29.543988
GE,2001.55616438356,28.701321
GE,2001.55890410959,27.877663
GE,2001.56164383562,27.750946
GE,2001.56438356164,27.719267
GE,2001.56712328767,28.289493
GE,2001.57534246575,27.624229
GE,2001.57808219178,27.560871
GE,2001.58082191781,27.117363
GE,2001.58356164384,26.737214
GE,2001.58630136986,27.085684
GE,2001.59452054795,26.22401
GE,2001.59726027397,27.098356
GE,2001.6,26.388743
GE,2001.60273972603,26.547139
GE,2001.60547945205,26.971639
GE,2001.61369863014,26.75622
GE,2001.61643835616,26.515458
GE,2001.61917808219,26.471107
GE,2001.62191780822,26.357062
GE,2001.62465753425,25.850196
GE,2001.63287671233,26.312712
GE,2001.63561643836,25.641115
GE,2001.63835616438,25.881875
GE,2001.64109589041,26.002257
GE,2001.64383561644,26.604162
GE,2001.65205479452,26.718204
GE,2001.65479452055,26.122637
GE,2001.65753424658,25.729816
GE,2001.6602739726,25.470047
GE,2001.66301369863,25.913556
GE,2001.67397260274,25.869205
GE,2001.67671232877,26.420422
GE,2001.67945205479,25.660122
GE,2001.68219178082,25.127912
GE,2001.6904109589,24.9315
GE,2001.7095890411,22.270452
GE,2001.71232876712,21.446792
GE,2001.71506849315,20.591456
GE,2001.71780821918,19.241924
GE,2001.72054794521,19.831155
GE,2001.73150684932,22.492205
GE,2001.73424657534,22.581309
GE,2001.73698630137,22.880442
GE,2001.74794520548,23.956045
GE,2001.75068493151,24.21699
GE,2001.75342465753,24.280636
GE,2001.75616438356,23.796932
GE,2001.75890410959,23.83512
GE,2001.76712328767,23.421425
GE,2001.7698630137,23.434154
GE,2001.77534246575,24.789797
GE,2001.77808219178,24.821619
GE,2001.78630136986,24.732517
GE,2001.79178082192,23.644185
GE,2001.79452054795,23.707829
GE,2001.79726027397,23.707829
GE,2001.80547945205,23.936952
GE,2001.80821917808,23.720558
GE,2001.81095890411,23.599633
GE,2001.81369863014,24.102428
GE,2001.82465753425,23.82239
GE,2001.82739726027,23.128658
GE,2001.8301369863,23.173209
GE,2001.84383561644,24.675236
GE,2001.84657534247,25.33078
GE,2001.84931506849,25.044377
GE,2001.85205479452,25.680828
GE,2001.86301369863,25.095294
GE,2001.86575342466,25.814485
GE,2001.86849315069,26.018149
GE,2001.87123287671,26.444571
GE,2001.87397260274,25.999054
GE,2001.88219178082,26.253636
GE,2001.88493150685,26.158167
GE,2001.88767123288,25.744475
GE,2001.89315068493,26.107252
GE,2001.90136986301,26.298187
GE,2001.90410958904,26.139074
GE,2001.90684931507,25.044377
GE,2001.9095890411,25.286229
GE,2001.92054794521,23.497799
GE,2001.92328767123,23.771473
GE,2001.92602739726,23.898764
GE,2001.92876712329,24.026055
GE,2001.93150684932,23.644185
GE,2001.9397260274,23.421425
GE,2001.94246575342,23.415062
GE,2001.94520547945,23.580538
GE,2001.94794520548,23.580538
GE,2001.95068493151,23.962411
GE,2001.96438356164,25.954503
GE,2001.96712328767,25.992691
GE,2001.9698630137,26.31728
MSFT,2001.40547945205,24.701171
MSFT,2001.40821917808,24.29733
MSFT,2001.41095890411,24.293817
MSFT,2001.41369863014,24.701171
MSFT,2001.42191780822,24.855686
MSFT,2001.42465753425,25.494812
MSFT,2001.42739726027,25.410532
MSFT,2001.4301369863,25.874074
MSFT,2001.43287671233,25.702003
MSFT,2001.44109589041,25.326253
MSFT,2001.44657534247,24.824082
MSFT,2001.44931506849,24.195491
MSFT,2001.45205479452,23.886461
MSFT,2001.4602739726,23.486129
MSFT,2001.46301369863,23.640644
MSFT,2001.46575342466,24.374587
MSFT,2001.46849315068,24.525587
MSFT,2001.47123287671,24.170909
MSFT,2001.47945205479,24.177931
MSFT,2001.48219178082,24.630938
MSFT,2001.48493150685,24.982107
MSFT,2001.48767123288,25.543975
MSFT,2001.4904109589,25.63528
MSFT,2001.49863013699,24.792475
MSFT,2001.50136986301,24.746825
MSFT,2001.50684931507,24.058535
MSFT,2001.5095890411,23.198171
MSFT,2001.51780821918,23.068241
MSFT,2001.52054794521,22.643328
MSFT,2001.52328767123,23.352686
MSFT,2001.52602739726,25.143644
MSFT,2001.53698630137,24.996154
MSFT,2001.5397260274,25.220901
MSFT,2001.54246575342,24.781941
MSFT,2001.54520547945,25.484277
MSFT,2001.54794520548,24.293817
MSFT,2001.55616438356,23.559874
MSFT,2001.55890410959,23.289476
MSFT,2001.56164383562,23.696832
MSFT,2001.56438356164,23.38429
MSFT,2001.56712328767,22.990983
MSFT,2001.57534246575,23.10687
MSFT,2001.57808219178,23.243825
MSFT,2001.58082191781,23.342152
MSFT,2001.58356164384,23.686295
MSFT,2001.58630136986,23.489642
MSFT,2001.59452054795,23.222753
MSFT,2001.59726027397,23.300011
MSFT,2001.6,22.776771
MSFT,2001.60273972603,22.829446
MSFT,2001.60547945205,23.00854
MSFT,2001.61369863014,23.117404
MSFT,2001.61643835616,22.717073
MSFT,2001.61917808219,22.193831
MSFT,2001.62191780822,22.692491
MSFT,2001.62465753425,21.73029
MSFT,2001.63287671233,22.018247
MSFT,2001.63561643836,21.344004
MSFT,2001.63835616438,21.301864
MSFT,2001.64109589041,20.761065
MSFT,2001.64383561644,21.789987
MSFT,2001.65205479452,21.881292
MSFT,2001.65479452055,21.329958
MSFT,2001.65753424658,21.157885
MSFT,2001.6602739726,19.995518
MSFT,2001.66301369863,20.034146
MSFT,2001.67397260274,19.700536
MSFT,2001.67671232877,20.276453
MSFT,2001.67945205479,19.672444
MSFT,2001.68219178082,19.45472
MSFT,2001.6904109589,20.220266
MSFT,2001.7095890411,18.58031
MSFT,2001.71232876712,19.075457
MSFT,2001.71506849315,18.917431
MSFT,2001.71780821918,17.825298
MSFT,2001.72054794521,17.456572
MSFT,2001.73150684932,18.014929
MSFT,2001.73424657534,17.653226
MSFT,2001.73698630137,17.544364
MSFT,2001.74794520548,18.187002
MSFT,2001.75068493151,18.629474
MSFT,2001.75342465753,19.746189
MSFT,2001.75616438356,19.819934
MSFT,2001.75890410959,20.26943
MSFT,2001.76712328767,20.381804
MSFT,2001.7698630137,19.159738
MSFT,2001.77534246575,19.777794
MSFT,2001.77808219178,19.798864
MSFT,2001.78630136986,20.388827
MSFT,2001.79178082192,19.675955
MSFT,2001.79452054795,19.928796
MSFT,2001.79726027397,20.33264
MSFT,2001.80547945205,21.12628
MSFT,2001.80821917808,21.221095
MSFT,2001.81095890411,21.533635
MSFT,2001.81369863014,21.969084
MSFT,2001.82465753425,20.943672
MSFT,2001.82739726027,20.676785
MSFT,2001.8301369863,20.420432
MSFT,2001.84383561644,22.218413
MSFT,2001.84657534247,22.748677
MSFT,2001.84931506849,22.562558
MSFT,2001.85205479452,22.622256
MSFT,2001.86301369863,23.103357
MSFT,2001.86575342466,23.844322
MSFT,2001.86849315069,23.159543
MSFT,2001.87123287671,23.219243
MSFT,2001.87397260274,23.08931
MSFT,2001.88219178082,23.366733
MSFT,2001.88493150685,22.966402
MSFT,2001.88767123288,22.492325
MSFT,2001.89315068493,22.724095
MSFT,2001.90136986301,22.875097
MSFT,2001.90410958904,22.383463
MSFT,2001.90684931507,22.053364
MSFT,2001.9095890411,22.769746
MSFT,2001.92054794521,22.745164
MSFT,2001.92328767123,23.177102
MSFT,2001.92602739726,23.914555
MSFT,2001.92876712329,24.107699
MSFT,2001.93150684932,23.819741
MSFT,2001.9397260274,23.54934
MSFT,2001.94246575342,23.640644
MSFT,2001.94520547945,23.861879
MSFT,2001.94794520548,23.271916
MSFT,2001.95068493151,23.682785
MSFT,2001.96438356164,24.402679
MSFT,2001.96712328767,23.443991
MSFT,2001.9698630137,23.717902
XOM,2001.40547945205,31.207371
XOM,2001.40821917808,31.587688
XOM,2001.41095890411,31.545035
XOM,2001.41369863014,31.616121
XOM,2001.42191780822,32.284344
XOM,2001.42465753425,32.540259
XOM,2001.42739726027,31.776069
XOM,2001.4301369863,31.697873
XOM,2001.43287671233,31.772514
XOM,2001.44109589041,31.882699
XOM,2001.44657534247,31.982223
XOM,2001.44931506849,31.580578
XOM,2001.45205479452,31.598351
XOM,2001.4602739726,31.463254
XOM,2001.46301369863,31.417038
XOM,2001.46575342466,31.189508
XOM,2001.46849315068,31.431259
XOM,2001.47123287671,31.609018
XOM,2001.47945205479,31.470364
XOM,2001.48219178082,31.484585
XOM,2001.48493150685,31.008193
XOM,2001.48767123288,30.865986
XOM,2001.4904109589,31.054409
XOM,2001.49863013699,31.17884
XOM,2001.50136986301,31.050853
XOM,2001.50684931507,30.929979
XOM,2001.5095890411,30.858877
XOM,2001.51780821918,30.830435
XOM,2001.52054794521,30.489139
XOM,2001.52328767123,30.201168
XOM,2001.52602739726,30.378927
XOM,2001.53698630137,30.570906
XOM,2001.5397260274,30.325601
XOM,2001.54246575342,29.952307
XOM,2001.54520547945,30.631346
XOM,2001.54794520548,30.830435
XOM,2001.55616438356,30.218945
XOM,2001.55890410959,29.131064
XOM,2001.56164383562,29.955863
XOM,2001.56438356164,30.375373
XOM,2001.56712328767,30.382482
XOM,2001.57534246575,30.154952
XOM,2001.57808219178,29.692779
XOM,2001.58082191781,29.579013
XOM,2001.58356164384,29.671448
XOM,2001.58630136986,29.337262
XOM,2001.59452054795,29.045738
XOM,2001.59726027397,29.422588
XOM,2001.6,29.330152
XOM,2001.60273972603,29.280101
XOM,2001.60547945205,29.566108
XOM,2001.61369863014,29.601861
XOM,2001.61643835616,29.423106
XOM,2001.61917808219,29.673362
XOM,2001.62191780822,29.523208
XOM,2001.62465753425,28.936892
XOM,2001.63287671233,29.137097
XOM,2001.63561643836,28.879689
XOM,2001.63835616438,29.108495
XOM,2001.64109589041,29.237199
XOM,2001.64383561644,29.816367
XOM,2001.65205479452,29.351602
XOM,2001.65479452055,28.96549
XOM,2001.65753424658,28.87254
XOM,2001.6602739726,28.708085
XOM,2001.66301369863,28.708085
XOM,2001.67397260274,29.137097
XOM,2001.67671232877,29.473157
XOM,2001.67945205479,29.244351
XOM,2001.68219178082,29.244351
XOM,2001.6904109589,29.487458
XOM,2001.7095890411,28.708085
XOM,2001.71232876712,28.22902
XOM,2001.71506849315,27.463948
XOM,2001.71780821918,26.470069
XOM,2001.72054794521,25.619196
XOM,2001.73150684932,25.940953
XOM,2001.73424657534,25.747897
XOM,2001.73698630137,27.471097
XOM,2001.74794520548,27.950162
XOM,2001.75068493151,28.593682
XOM,2001.75342465753,28.486428
XOM,2001.75616438356,29.015544
XOM,2001.75890410959,29.094194
XOM,2001.76712328767,29.27295
XOM,2001.7698630137,29.358754
XOM,2001.77534246575,30.095225
XOM,2001.77808219178,30.238229
XOM,2001.78630136986,29.780616
XOM,2001.79178082192,29.63046
XOM,2001.79452054795,28.88684
XOM,2001.79726027397,28.986943
XOM,2001.80547945205,29.401654
XOM,2001.80821917808,29.222898
XOM,2001.81095890411,28.500729
XOM,2001.81369863014,29.001244
XOM,2001.82465753425,29.087045
XOM,2001.82739726027,28.214719
XOM,2001.8301369863,28.20757
XOM,2001.84383561644,28.164668
XOM,2001.84657534247,28.221871
XOM,2001.84931506849,28.106797
XOM,2001.85205479452,28.408864
XOM,2001.86301369863,28.811624
XOM,2001.86575342466,29.128076
XOM,2001.86849315069,27.833496
XOM,2001.87123287671,26.747484
XOM,2001.87397260274,26.99921
XOM,2001.88219178082,26.618026
XOM,2001.88493150685,27.301278
XOM,2001.88767123288,27.243742
XOM,2001.89315068493,27.646499
XOM,2001.90136986301,27.164628
XOM,2001.90410958904,26.862558
XOM,2001.90684931507,26.682755
XOM,2001.9095890411,26.934481
XOM,2001.92054794521,27.085515
XOM,2001.92328767123,27.553003
XOM,2001.92602739726,27.962954
XOM,2001.92876712329,26.848176
XOM,2001.93150684932,27.380391
XOM,2001.9397260274,27.006401
XOM,2001.94246575342,26.474186
XOM,2001.94520547945,26.912903
XOM,2001.94794520548,26.208075
XOM,2001.95068493151,26.510146
XOM,2001.96438356164,27.58177
XOM,2001.96712328767,27.54581
XOM,2001.9698630137,27.689653
